city,lat,lng,iso2
Andorra la Vella,42.5000,1.5000,AD
Canillo,42.5670,1.5981,AD
Encamp,42.5167,1.5667,AD
Escaldes-Engordany,42.5085,1.5385,AD
La Massana,42.5434,1.5148,AD
Ordino,42.5550,1.5331,AD
Sant Julià de Lòria,42.4664,1.4933,AD
‘Ajmān,25.3994,55.4797,AE
Abu Dhabi,24.4781,54.3686,AE
Al ‘Ayn,24.2075,55.7447,AE
Al Fujayrah,25.1308,56.3347,AE
Dubai,25.2697,55.3094,AE
Madīnat Zāyid,23.6522,53.6536,AE
Ra’s al Khaymah,25.7915,55.9428,AE
Sharjah,25.3575,55.3919,AE
Umm al Qaywayn,25.5653,55.5533,AE
Aībak,36.2534,68.0394,AF
Andkhōy,36.9500,65.1167,AF
Asadābād,34.8742,71.1528,AF
Baghlān,36.1328,68.7000,AF
Balkh,36.7581,66.8989,AF
Bāmyān,34.8167,67.8167,AF
Barakī Barak,33.9667,68.9667,AF
Bāzārak,35.3129,69.5152,AF
Buynī Qarah,36.3172,66.8747,AF
Chārīkār,35.0183,69.1679,AF
Faīẕābād,37.1298,70.5792,AF
Farāh,32.3436,62.1194,AF
Fayrōz Kōh,34.5225,65.2517,AF
Gardēz,33.5931,69.2297,AF
Ghaznī,33.5492,68.4233,AF
Herāt,34.3738,62.1792,AF
Jalālābād,34.4303,70.4528,AF
Kabul,34.5328,69.1658,AF
Kandahār,31.6078,65.7053,AF
Karukh,34.4868,62.5918,AF
Khānābād,36.6831,69.1636,AF
Khōst,33.3333,69.9167,AF
Khulm,36.6833,67.6833,AF
Kōṯah-ye ‘As̲h̲rō,34.4500,68.8000,AF
Kunduz,36.7280,68.8725,AF
Lashkar Gāh,31.5938,64.3716,AF
Maḩmūd-e Rāqī,35.0167,69.3333,AF
Maīdān Shahr,34.3972,68.8697,AF
Maīmanah,35.9302,64.7701,AF
Mazār-e Sharīf,36.7000,67.1167,AF
Mehtar Lām,34.6500,70.1833,AF
Nīlī,33.7218,66.1302,AF
Pārūn,35.4206,70.9226,AF
Pul-e ‘Alam,33.9953,69.0227,AF
Pul-e Khumrī,35.9500,68.7000,AF
Qal‘ah-ye Now,34.9900,63.1200,AF
Qal‘ah-ye Zāl,37.0150,68.4672,AF
Qalāt,32.1061,66.9069,AF
